stevilka_police,komitent_id,datum_police,premija,tip_zavarovanja
58,105-17-9228,2008-04-17,16.52,2
59,588-24-7061,2012-11-08,84.76,1
60,599-96-9931,2017-10-05,-25.73,1
61,823-66-9381,2005-07-16,115.62,2
62,103-88-4977,2004-11-01,48.52,2
63,270-55-5873,2008-09-03,91.49,1
64,269-73-2293,2009-05-18,134.01,2
65,197-56-8459,2010-01-31,108.28,2
66,408-37-0709,2006-09-15,38.18,1
67,742-54-0262,2007-07-18,41.48,3
68,899-23-8847,2018-08-01,79.08,1
69,346-47-5891,2010-01-20,38.01,2
70,564-89-2372,2003-11-23,131.26,3
71,836-08-8105,2013-09-26,141.05,2
72,288-59-3192,2012-06-14,142.55,3
73,587-25-5606,2013-05-03,25.79,1
74,742-54-0262,2016-10-21,57.7,3
75,451-91-6735,2007-08-26,102.81,1
76,869-34-4711,2016-02-12,180.5,3
77,504-07-0575,2014-06-27,111.28,1
78,294-10-6913,2003-12-15,66.39,1
79,631-40-9078,2006-12-06,23.92,2
80,314-03-5757,2003-09-03,108.16,2
81,100-46-3280,2003-08-19,90.58,2
82,244-97-2287,2019-06-02,136.37,1
83,292-77-0389,2007-05-29,96.54,2
84,747-49-4262,2005-04-16,66.92,2
85,155-37-3476,2016-05-02,128.93,3
86,130-29-1821,2015-08-06,130.69,2
87,814-36-4881,2017-11-15,150.24,1
88,602-52-3724,2015-10-31,61.78,1
89,328-53-0465,2017-12-09,81.45,1
90,346-47-5891,2008-05-16,63.77,2
91,520-03-0995,2004-09-11,16.82,3
92,286-39-5090,2016-01-05,140.41,3
93,650-18-2353,2017-10-05,138.2,3
94,599-69-6575,2009-11-06,165.68,1
95,701-06-5302,2011-09-20,73.39,3
96,136-32-0632,2004-02-23,132.6,2
97,476-63-8102,2003-11-09,77.14,1
98,202-11-3082,2012-10-29,78.28,1
99,874-38-6442,2008-01-21,97.78,1
100,560-27-2765,2018-12-17,79.45,1
101,470-35-3591,2020-04-06,81.26,3
102,788-08-5723,2016-12-16,78.52,3
103,448-61-2773,2009-01-10,5.7,3
104,320-62-6406,2016-02-11,54.2,1
105,431-33-7985,2015-03-03,59.53,3
106,494-56-4450,2010-03-03,175.93,1
107,855-82-1897,2003-05-04,136.43,3
108,647-10-2521,2013-05-19,87.67,3
109,696-86-8157,2016-01-14,97.15,2
110,374-84-6144,2012-11-14,44.11,2
111,861-39-2228,2004-09-16,22.17,1
112,836-08-8105,2010-05-22,63.85,3
113,216-68-7302,2016-06-11,82.01,1
114,571-26-4394,2013-02-28,116.03,1
115,287-68-2371,2015-01-08,98.1,3
116,266-52-5144,2013-08-06,110.83,2
117,391-88-1576,2014-11-19,53.25,2
118,894-21-2820,2012-07-17,212.09,1
119,656-85-7007,2005-09-29,83.46,1
120,454-81-0300,2015-07-29,187.24,2
121,427-01-5699,2014-02-10,37.58,2
122,760-94-6313,2018-02-22,114.29,3
123,659-02-4740,2020-03-21,107.29,1
124,696-86-8157,2019-03-07,45.52,2
125,426-69-9938,2009-01-02,132.4,1
126,724-02-8658,2011-09-27,126.34,2
127,849-84-5337,2008-06-11,55.09,1
128,602-41-4851,2017-02-24,85.98,2
129,428-51-6203,2019-01-25,146.92,1
130,263-54-5972,2017-05-14,19.24,2
131,461-32-4119,2018-07-03,126.16,3
132,821-68-1255,2011-09-29,98.08,2
133,741-07-4747,2018-07-24,143.63,1
134,218-06-1051,2004-10-07,116.54,2
135,469-46-6644,2018-11-28,68.97,1
136,705-27-9864,2003-07-26,150.27,3
137,650-18-2353,2007-12-02,91.66,1
138,470-35-3591,2019-10-07,125.33,3
139,250-87-8788,2015-07-17,130.76,1
140,315-47-2172,2014-03-25,84.64,2
141,160-63-5499,2008-04-22,148.59,3
142,525-66-0180,2011-07-12,141.92,2
143,249-33-1892,2009-03-28,91.51,3
144,608-67-1370,2008-02-06,178.22,3
145,368-17-8039,2016-02-18,134.4,2
146,334-78-8558,2017-04-04,25.26,2
147,897-21-2526,2011-09-05,23.35,1
148,426-69-9938,2012-02-19,74.85,3
149,282-27-7330,2014-04-05,208.97,1
150,590-64-3132,2012-02-28,124.23,1
151,722-64-2022,2020-03-19,-11.4,1
152,364-91-0974,2019-01-14,134.98,3
153,278-43-3557,2006-03-30,90.88,3
154,779-21-9697,2010-10-03,80.59,3
155,224-13-2211,2017-05-29,32.25,3
156,166-69-4319,2018-09-06,57.56,1
157,814-36-4881,2016-12-15,153.68,3
158,303-17-4023,2019-06-22,20.32,3
159,578-80-7155,2009-05-01,92.27,3
160,602-41-4851,2017-08-07,95.54,3
161,131-78-5116,2019-06-20,88.38,1
162,106-71-1134,2016-03-19,18.05,3
163,268-54-0814,2007-06-17,123.36,3
164,263-97-6931,2016-08-24,178.49,2
165,687-29-9231,2007-08-01,106.28,2
166,458-03-0585,2016-05-11,161.49,1
167,676-17-5982,2009-06-29,57.58,1
168,594-12-7439,2010-09-05,130.24,2
169,476-81-1505,2013-07-27,170.84,3
170,228-78-8199,2009-03-22,188.42,2
171,741-07-4747,2012-02-24,112.73,1
172,212-13-6333,2018-06-08,131.57,2
173,440-75-2440,2010-05-18,78.49,1
174,390-81-7524,2008-11-12,96.73,1
175,284-53-8293,2005-08-01,128.77,1
176,599-96-9931,2016-12-10,19.18,2
177,534-54-4121,2004-03-11,104.97,3
178,334-70-0472,2015-07-14,112.78,1
179,199-66-4476,2019-09-01,77.28,3
180,644-12-1307,2017-10-03,73.84,2
181,814-36-4881,2019-10-16,64.37,2
182,256-26-7571,2010-09-20,84.4,3
183,422-62-9337,2019-08-16,144.58,2
184,488-56-2344,2013-01-29,38.47,2
185,559-49-5022,2007-09-21,-55.11,3
186,371-19-5219,2005-07-21,121.54,1
187,621-76-8866,2004-10-29,41.85,3
188,348-27-1162,2017-12-09,165.76,2
189,706-52-1543,2012-12-13,202.69,2
190,728-69-8249,2006-09-02,176.89,3
191,552-15-9930,2010-08-15,35.23,2
192,485-75-3862,2004-03-19,149.53,1
193,882-96-7624,2005-08-27,45.49,3
194,610-29-9726,2019-04-10,123.04,3
195,786-11-5905,2006-08-17,136.54,1
196,715-81-3884,2018-05-05,111.26,2
197,444-09-6580,2010-08-27,-53.55,1
198,763-20-0095,2011-10-14,83.28,2
199,250-22-0343,2019-07-05,252.63,3
200,469-46-6644,2006-04-05,65.45,3
201,109-11-5231,2011-07-31,143.12,2
202,323-54-7929,2011-05-28,141.38,1
203,382-19-3912,2009-08-20,110.15,1
204,212-13-6333,2011-09-13,78.7,1
205,294-42-4108,2004-01-11,72.05,1
206,363-79-4773,2011-02-18,43.86,3
207,598-23-7916,2020-01-23,141.8,3
208,338-57-0486,2018-02-09,83.15,2
209,615-39-0562,2006-11-20,48.07,2
210,350-75-8920,2011-02-18,60.27,2
211,752-09-6452,2013-10-22,65.87,2
212,394-31-8656,2006-03-24,186.34,2
213,676-17-5982,2004-04-24,168.77,2
214,210-70-8064,2009-07-19,224.25,1
215,790-37-9870,2014-08-02,133.72,1
216,400-12-9291,2013-05-01,100.68,3
217,215-26-7670,2010-07-11,92.74,2
218,485-42-7265,2017-08-03,132.4,1
219,750-08-9363,2006-10-09,57.06,2
220,192-19-7475,2017-03-05,44.38,3
221,691-50-1442,2006-03-01,23.83,2
222,149-41-6016,2016-10-05,36.59,1
223,287-15-8512,2005-02-28,107.54,2
224,455-21-7811,2012-07-07,80.76,3
225,136-32-0632,2004-11-28,71.04,2
226,149-83-2485,2012-06-15,122.74,2
227,752-87-3103,2013-11-23,98.15,3
228,448-61-2773,2003-05-20,79.54,3
229,537-68-5327,2006-12-22,64.36,1
230,610-86-2025,2015-07-13,140.62,1
231,528-38-4837,2006-04-27,24.93,3
232,186-47-3143,2016-03-20,146.0,2
233,470-30-3814,2013-02-20,75.32,2
234,377-19-6756,2009-10-20,39.24,3
235,315-98-7167,2020-02-03,131.51,2
236,457-54-1203,2010-09-20,139.93,2
237,263-54-5972,2006-12-19,70.33,2
238,560-27-2765,2008-02-12,91.06,1
239,448-61-2773,2013-06-04,108.83,2
240,772-54-5463,2010-05-24,54.55,1
241,570-07-5995,2004-01-22,60.78,3
242,607-59-9427,2018-07-06,155.81,2
243,188-52-0433,2014-04-06,101.75,1
244,681-38-6831,2018-01-01,76.05,2
245,646-78-2553,2015-07-15,94.22,2
246,635-71-9632,2008-02-18,62.74,2
247,384-27-3364,2015-09-06,86.43,3
248,245-23-6915,2014-09-16,182.16,1
249,139-52-4766,2014-07-07,133.97,2
250,858-31-9926,2003-06-08,216.4,3
251,896-04-0286,2004-10-20,155.57,2
252,825-59-5270,2009-02-17,103.63,1
253,599-69-6575,2014-02-18,67.91,3
254,578-80-7155,2016-06-28,126.82,2
255,393-84-1668,2011-02-08,41.25,3
256,583-50-5414,2006-01-23,95.42,2
257,583-50-5414,2010-06-07,166.91,2
258,510-37-7538,2018-12-05,103.71,1
259,899-60-4250,2011-06-29,52.07,1
260,531-06-7294,2018-05-23,100.3,1
261,595-49-3721,2008-02-16,-30.18,2
262,156-71-3139,2014-08-03,124.52,3
263,520-02-2253,2011-10-13,105.69,1
264,518-89-5373,2004-05-24,81.33,1
265,165-69-5067,2016-04-14,-18.19,2
266,550-18-6520,2003-08-20,121.87,1
267,291-01-3345,2004-09-01,23.06,1
268,504-37-2644,2012-03-09,80.07,1
269,426-69-9938,2014-12-02,61.52,2
270,178-62-1489,2009-11-03,55.01,3
271,284-16-9432,2010-10-27,123.16,3
272,299-90-4675,2007-05-23,128.12,3
273,771-12-0900,2014-10-29,118.44,3
274,554-52-9577,2006-08-24,128.99,1
275,338-57-0486,2014-05-06,139.8,1
276,551-12-9557,2012-09-25,70.39,2
277,781-56-2106,2012-09-13,95.51,3
278,223-36-1500,2008-12-03,155.03,1
279,628-98-1849,2009-09-16,173.89,2
280,276-30-0173,2015-07-12,15.0,3
281,846-51-1663,2005-10-16,87.21,1
282,200-83-3827,2015-05-15,79.57,1
283,299-12-0889,2006-05-30,41.7,2
284,197-56-8459,2005-11-13,119.98,3
285,619-59-6316,2008-06-09,170.08,1
286,676-17-5982,2016-11-22,91.86,3
287,273-96-5411,2009-06-10,92.11,3
288,182-08-1432,2019-11-21,64.82,2
289,403-29-9782,2004-09-29,95.88,1
290,343-35-1418,2005-04-04,52.19,3
291,259-25-6217,2011-10-26,125.52,1
292,296-73-2343,2006-03-22,106.29,2
293,566-35-5192,2017-06-17,65.56,2
294,644-99-2616,2010-08-23,94.2,1
295,425-49-5005,2012-09-13,125.41,1
296,861-39-2228,2006-10-20,109.21,3
297,263-54-7055,2006-10-15,75.16,3
298,532-75-7179,2010-08-08,171.68,3
299,733-49-2682,2007-11-12,58.28,3
300,108-28-6289,2018-03-20,136.29,1
301,758-58-1262,2018-12-31,155.36,3
302,595-55-3333,2008-04-08,66.55,3
303,408-37-0709,2006-01-28,114.69,1
304,778-96-4263,2006-07-28,101.62,1
305,520-30-6534,2013-02-12,260.93,3
306,109-51-6752,2013-03-30,152.42,2
307,490-14-0065,2017-01-22,106.1,3
308,646-78-2553,2019-12-23,113.45,1
309,557-50-6512,2009-01-11,54.92,2
310,610-86-2025,2005-06-18,42.37,2
311,808-96-0489,2003-10-05,60.13,2
312,714-57-0193,2015-01-15,98.96,3
313,109-32-4940,2008-05-18,81.57,3
314,228-54-3587,2010-04-09,73.15,1
315,534-54-4121,2018-03-02,105.22,1
316,282-47-2605,2017-08-13,162.05,2
317,849-84-5337,2016-07-02,75.69,3
318,467-24-5234,2015-02-09,77.96,1
319,272-51-3074,2011-12-04,110.62,1
320,594-57-9452,2004-06-24,95.04,2
321,322-47-6360,2018-01-13,72.52,1
322,878-91-6525,2013-01-09,63.89,1
323,519-19-3360,2019-11-22,48.47,1
324,502-21-0514,2005-05-27,105.61,2
325,173-56-6124,2013-10-27,124.18,3
326,501-79-3712,2014-10-30,42.56,1
327,493-89-4248,2009-03-22,135.49,2
328,658-20-7843,2003-05-19,122.58,2
329,644-12-1307,2011-10-29,163.09,3
330,701-06-5302,2011-09-21,94.03,2
331,809-92-5813,2017-03-21,37.73,3
332,412-39-4305,2011-11-14,115.05,3
333,830-49-9746,2013-10-10,40.06,3
334,660-30-8368,2012-10-11,107.8,3
335,645-25-3328,2017-07-31,85.24,2
336,571-69-2927,2012-02-09,95.31,3
337,518-64-8987,2017-08-05,48.7,3
338,383-98-8618,2010-10-28,72.82,1
339,812-42-3004,2005-07-07,79.7,3
340,316-54-2995,2004-11-14,117.79,1
341,452-60-7302,2009-02-12,118.77,2
342,855-82-1897,2015-05-11,106.3,2
343,427-01-5699,2006-10-23,168.18,1
344,741-07-4747,2016-12-04,141.82,2
345,549-06-7289,2007-03-05,76.54,3
346,852-57-3073,2004-01-06,122.33,3
347,653-23-1242,2008-05-07,59.09,2
348,687-29-9231,2006-10-21,89.6,1
349,615-39-0562,2007-10-09,72.91,3
350,571-69-2927,2007-07-02,191.81,3
351,534-71-5277,2011-07-07,68.15,3
352,516-56-0633,2013-09-02,25.87,1
353,429-95-6710,2018-04-04,84.48,2
354,296-54-9907,2019-02-02,107.4,1
355,715-67-9785,2005-01-28,70.29,3
356,772-54-5463,2008-06-07,106.44,1
357,531-06-7294,2005-12-31,100.3,2
358,467-14-7470,2020-02-20,93.85,1
359,432-01-9445,2010-01-17,44.09,3
360,160-63-5499,2004-04-01,90.52,3
361,619-28-6146,2020-02-14,143.74,2
362,766-73-1757,2018-05-10,20.87,3
363,180-91-9157,2011-09-18,115.02,3
364,608-67-1370,2008-01-28,76.4,3
365,578-80-7155,2004-07-23,69.16,2
366,327-57-2813,2008-12-07,41.44,1
367,598-24-4216,2008-03-15,103.43,2
368,884-54-3465,2017-12-04,103.51,3
369,350-75-8920,2018-04-03,120.18,1
370,376-65-0461,2015-07-26,140.69,3
371,638-74-7207,2012-02-19,140.0,1
372,772-63-0623,2009-03-05,43.84,2
373,659-49-2346,2012-11-08,70.33,2
374,528-38-4837,2018-03-04,41.04,2
375,266-10-1227,2006-12-30,64.68,3
376,439-65-2790,2008-12-19,127.75,2
377,364-97-7755,2012-12-06,89.59,1
378,692-18-0430,2019-06-19,64.71,1
379,232-40-3891,2009-11-01,125.89,1
380,499-42-3406,2017-12-22,63.27,3
381,570-81-8658,2018-08-03,168.19,3
382,295-22-0976,2009-10-28,23.24,3
383,334-78-8558,2015-10-27,4.99,1
384,887-78-0756,2014-11-29,27.07,2
385,670-11-9982,2016-09-08,180.47,3
386,219-23-0560,2013-12-03,178.74,2
387,257-80-8725,2012-01-17,128.34,1
388,518-89-5373,2009-05-09,150.23,2
389,600-58-7371,2005-12-21,63.59,3
390,653-43-0130,2005-04-01,129.06,3
391,187-61-5083,2010-10-02,114.25,2
392,618-72-0414,2011-12-23,98.95,2
393,173-64-3435,2003-06-19,49.68,1
394,836-37-0269,2009-03-11,93.83,2
395,189-82-3264,2009-03-27,125.21,1
396,614-85-5921,2004-06-13,108.7,1
397,296-54-9907,2007-05-01,139.4,2
398,102-66-3879,2004-07-20,40.04,3
399,641-21-1366,2017-07-08,105.95,2
400,124-12-0460,2006-05-14,111.86,2
401,770-93-1244,2014-01-28,159.1,1
402,103-88-4977,2010-07-29,120.57,3
403,235-03-3601,2012-09-18,67.9,3
404,803-22-6974,2019-12-14,53.18,2
405,687-29-9231,2017-01-31,116.61,1
406,169-36-3937,2004-09-12,83.05,1
407,157-55-8417,2019-11-30,117.55,1
408,180-91-9157,2007-11-24,128.78,1
409,394-31-8656,2013-05-20,17.1,1
410,112-31-9460,2020-02-18,134.88,1
411,105-17-9228,2010-01-16,109.97,1
412,566-84-3282,2008-06-13,110.26,2
413,394-31-8656,2004-11-20,87.04,2
414,265-70-5679,2013-11-08,51.02,2
415,569-94-0600,2011-01-07,139.08,2
416,671-96-3992,2012-04-03,54.15,2
417,844-26-9337,2019-10-17,47.16,1
418,455-21-7811,2017-02-20,95.93,3
419,839-58-2023,2010-06-14,128.95,3
420,583-61-4288,2020-01-17,162.47,3
421,559-27-7171,2014-05-05,167.68,3
422,683-47-9738,2018-02-18,146.16,1
423,195-54-0186,2006-10-30,133.47,1
424,631-40-9078,2014-06-30,-18.58,3
425,862-12-7624,2009-04-26,163.95,2
426,401-29-2266,2014-01-18,148.17,3
427,108-89-5239,2008-05-31,36.4,2
428,446-64-4207,2020-01-08,50.27,3
429,350-75-8920,2019-04-10,168.65,2
430,400-12-9291,2020-01-16,110.9,2
431,577-07-4137,2017-01-25,209.72,3
432,592-06-7916,2003-10-16,138.36,1
433,698-26-2772,2019-06-20,210.5,2
434,467-14-7470,2011-01-25,103.18,3
435,247-69-5862,2014-04-07,55.52,3
436,109-03-5594,2005-03-16,82.15,1
437,467-14-7470,2020-01-23,90.56,2
438,127-22-1355,2006-09-29,-12.7,2
439,315-98-7167,2015-12-15,119.29,1
440,109-32-4940,2013-02-27,66.12,3
441,455-99-9852,2014-08-10,99.11,1
442,160-38-4278,2007-03-19,24.21,3
443,868-10-7599,2010-08-23,123.99,3
444,381-69-9768,2014-08-14,57.33,3
445,209-86-8329,2018-11-12,74.13,3
446,219-23-0560,2013-01-29,-63.06,2
447,263-97-6931,2004-08-18,71.25,2
448,226-85-6170,2018-12-03,117.41,3
449,284-16-9432,2009-10-24,67.72,3
450,783-62-2282,2013-02-10,149.59,2
451,426-69-9938,2011-09-09,153.87,1
452,810-21-7343,2008-01-11,113.16,3
453,707-05-2639,2015-06-06,107.38,1
454,899-23-8847,2019-01-01,132.72,2
455,558-72-7492,2014-03-09,163.22,1
456,493-89-4248,2007-12-01,86.27,3
457,141-78-0824,2016-05-30,111.85,2
458,896-04-0286,2009-03-29,71.57,3
459,479-93-3548,2006-09-30,164.13,2
460,518-64-8987,2012-10-18,62.08,2
461,838-10-6734,2016-08-11,81.87,1
462,328-04-2394,2014-09-16,63.38,2
463,558-72-7492,2016-06-05,63.11,1
464,780-83-0084,2013-05-11,105.84,3
465,880-17-9941,2012-06-26,47.77,3
466,698-26-2772,2015-05-24,32.53,1
467,472-61-8452,2011-01-14,62.99,1
468,595-55-3333,2016-09-20,75.89,2
469,219-23-0560,2005-02-24,117.6,1
470,469-68-9847,2018-05-31,88.06,3
471,141-85-2735,2019-06-26,120.4,3
472,850-16-1126,2005-03-12,165.02,3
473,109-32-4940,2010-12-01,81.95,2
474,610-86-2025,2012-07-28,116.8,2
475,391-88-1576,2006-06-25,67.73,1
476,273-96-5411,2016-06-10,111.23,2
477,628-98-1849,2015-02-10,86.46,3
478,287-68-2371,2008-06-05,16.26,3
479,772-63-0623,2005-05-06,111.25,3
480,326-46-4491,2007-08-30,165.66,3
481,546-99-5701,2014-05-26,62.3,3
482,484-22-6634,2007-05-08,136.2,1
483,370-53-3011,2013-07-19,125.64,3
484,249-13-3215,2010-02-22,91.99,3
485,186-47-3143,2005-04-12,94.08,2
486,780-64-4513,2018-01-03,98.24,2
487,176-33-8399,2004-06-15,64.78,2
488,602-52-3724,2009-05-14,61.67,2
489,650-79-0630,2008-09-04,48.93,2
490,413-39-9272,2017-10-08,42.84,2
491,571-15-5377,2015-01-11,114.92,3
492,624-84-8214,2004-02-26,98.29,3
493,344-75-1934,2004-05-21,101.43,1
494,294-10-6913,2013-12-24,59.96,3
495,537-68-5327,2014-04-04,89.07,2
496,691-50-1442,2011-05-12,58.1,3
497,206-96-8134,2019-05-30,38.67,2
498,889-37-4978,2019-09-06,140.44,3
499,403-29-9782,2014-03-05,140.23,3
500,751-33-5734,2009-02-21,158.57,3
501,129-34-7180,2020-03-19,137.32,2
502,129-81-6495,2011-03-12,133.21,3
503,294-42-4108,2017-02-28,95.88,3
504,286-81-9841,2013-11-25,94.91,1
505,848-96-4046,2004-12-13,145.97,2
506,557-50-6512,2005-10-18,132.42,1
507,335-89-8971,2010-05-25,76.33,2
508,359-52-3992,2014-10-25,132.3,2
509,376-65-0461,2007-01-18,74.55,3
510,780-83-0084,2007-02-01,205.52,3
511,692-80-7327,2013-12-30,96.03,3
512,602-41-4851,2007-09-06,68.6,1
513,810-21-7343,2015-06-28,61.27,3
514,319-86-9562,2019-11-10,115.54,3
515,587-25-5606,2006-01-29,190.88,3
516,416-91-4327,2018-01-03,35.56,3
517,318-15-2472,2008-06-25,94.84,3
518,282-27-7330,2004-10-01,151.23,2
519,428-68-9545,2018-01-11,74.8,1
520,617-52-0327,2019-01-10,84.86,2
521,282-47-2605,2011-04-24,49.05,3
522,814-36-4881,2017-06-13,103.58,2
523,882-87-8938,2019-04-29,102.39,1
524,598-23-7916,2014-11-09,-48.47,2
525,116-92-1040,2010-04-17,17.6,3
526,697-02-6547,2017-04-14,40.46,1
527,585-27-8941,2020-02-05,77.24,3
528,703-45-8132,2012-12-05,84.41,3
529,219-23-0560,2016-02-27,165.59,1
530,123-90-0577,2013-08-25,133.27,3
531,826-12-4627,2004-04-16,92.52,2
532,415-89-0613,2010-04-24,173.46,2
533,814-98-4846,2007-05-13,176.58,1
534,292-39-3989,2005-07-22,114.66,2
535,494-48-0530,2009-04-20,120.47,1
536,610-86-2025,2016-11-28,142.69,1
537,896-12-0002,2010-10-27,120.23,2
538,279-97-3206,2003-05-13,14.25,2
539,434-87-3751,2015-09-14,132.09,3
540,249-33-1892,2018-07-07,123.56,3
541,615-72-1684,2017-06-02,140.46,2
542,297-36-0680,2010-10-21,94.75,1
543,312-57-3752,2011-12-07,77.86,2
544,262-73-9394,2015-07-19,154.01,2
545,849-24-6853,2006-11-11,152.33,2
546,453-91-3928,2007-07-29,178.09,3
547,659-49-2346,2005-06-19,96.71,3
548,161-23-8693,2007-10-24,27.88,3
549,439-88-6000,2010-12-01,138.35,2
550,692-80-7327,2008-10-14,44.82,2
551,564-89-2372,2007-01-19,49.69,2
552,597-44-5724,2012-02-26,132.16,3
553,863-97-9907,2019-05-24,148.27,1
554,590-64-3132,2019-11-01,36.46,3
555,736-32-1660,2014-05-18,74.65,1
556,397-71-5539,2013-10-21,208.35,3
557,862-12-5276,2007-03-21,153.66,1
558,599-96-9931,2014-01-13,80.41,3
559,356-84-8124,2005-01-25,54.98,3
560,879-88-9861,2006-01-02,117.39,2
561,598-23-7916,2008-12-22,212.19,1
562,623-27-3498,2005-10-20,99.1,3
563,620-79-0051,2006-04-08,160.15,1
564,186-47-3143,2005-05-15,80.37,1
565,662-05-0888,2007-12-13,141.26,3
566,780-64-4513,2006-08-29,84.54,3
567,470-30-3814,2004-03-08,193.51,3
568,532-75-7179,2012-12-20,114.48,2
569,662-05-0888,2011-12-07,119.43,3
570,105-17-9228,2014-04-28,24.48,3
571,766-73-1757,2012-10-13,220.86,2
572,269-51-5979,2013-02-21,137.45,2
573,410-56-9353,2014-05-28,142.74,2
574,806-48-5141,2016-07-03,195.07,3
575,484-22-6634,2005-01-31,11.91,2
576,131-78-5116,2013-10-10,59.83,3
577,818-30-7329,2006-08-26,110.35,1
578,647-10-2521,2006-02-16,10.89,1
579,718-62-8274,2007-06-08,89.43,2
580,223-30-3477,2018-03-09,34.85,3
581,381-69-9768,2014-10-19,119.15,2
582,520-30-6534,2015-06-10,79.35,2
583,780-99-4965,2018-04-09,139.08,1
584,599-96-9931,2004-08-29,83.54,2
585,381-69-9768,2019-01-24,140.43,1
586,553-66-8195,2009-02-22,83.86,1
587,810-21-7343,2019-02-14,71.54,1
588,282-47-2605,2013-06-10,163.12,1
589,816-47-1371,2006-08-05,162.26,1
590,483-37-9646,2005-07-11,121.28,3
591,489-88-4314,2010-12-09,93.08,2
592,149-11-4284,2010-08-06,111.31,3
593,549-06-7289,2009-01-09,126.34,1
594,722-64-2022,2016-04-08,3.34,1
595,321-87-6952,2016-07-27,144.17,3
596,289-58-9228,2010-07-13,111.21,3
597,269-13-0672,2005-11-24,94.74,2
598,352-50-9757,2011-10-30,51.46,2
599,375-53-7790,2016-07-22,107.7,2
600,554-52-9577,2012-08-14,217.32,3
601,600-58-7371,2010-05-28,78.22,2
602,222-99-2673,2015-08-22,121.11,2
603,168-21-6037,2009-06-13,99.05,1
604,560-27-2765,2013-05-20,50.31,2
605,696-86-8157,2007-08-15,32.47,3
606,232-40-3891,2018-05-08,161.27,3
607,836-92-8200,2013-06-17,146.06,3
608,696-01-8330,2015-06-07,121.64,2
609,330-41-0445,2011-05-19,25.99,3
610,705-27-9864,2018-12-13,78.51,2
611,328-53-0465,2012-09-29,29.28,2
612,435-45-5434,2018-05-02,84.84,2
613,299-12-0889,2015-10-27,147.72,2
614,410-84-4805,2007-01-12,139.46,1
615,183-47-7490,2012-08-16,70.26,3
616,586-47-0784,2009-02-16,106.97,2
617,804-33-1809,2019-09-14,191.26,2
618,353-56-3521,2006-09-14,61.98,2
619,830-81-8927,2005-05-09,50.6,2
620,467-14-7470,2004-03-18,78.21,1
621,259-25-6217,2008-03-03,109.43,3
622,676-17-5982,2007-12-06,156.52,2
623,686-06-9905,2011-10-02,71.62,3
624,728-01-9721,2003-09-20,76.22,2
625,450-43-8000,2004-04-30,120.58,1
626,166-69-4319,2004-01-15,180.99,2
627,187-61-5083,2010-12-01,149.02,2
628,175-78-6718,2016-04-30,103.69,3
629,172-65-3203,2013-08-27,137.8,1
630,756-16-6458,2008-11-05,103.19,2
631,884-54-3465,2018-01-21,126.74,1
632,849-24-6853,2014-01-13,81.4,1
633,344-75-1934,2010-06-05,96.29,1
